slang;formal
netaas;menetas
keberpa;keberapa
eeeehhhh;eh
kata2nyaaa;kata-katanya
aaaaahhhh;ah
nyenengin;menyenangkan
gemess;gemas
gemesiin;menggemaskan
menyenangkn;menyenangkan
akau;aku
nemuin;menemukan
mnis2nya;manis-manisnya
idolaa;idola
baaiikkk;baik
telaatt;telat
loohhh;loh
baguuuuus;bagus
bnk;bang
awaas;awas
siip;sip
abizzzz;habis
kerrrrennnn;keren
sayaa;saya
kharismanya;karismanya
lgunya;lagunya
kereeeeennnn;keren
nyamain;menyamakan
lakik;laki
siippp;sip
wihhhhhh;wih
bingitsss;banget
bird;biru
kaloo;kalo
tuuh;tuh
nyebur;mencebur
bangcat;bangsat
waoohhh;wah
dhe;deh
indahhh;indah
berarto;berarti
aminnnn2;amin-amin
amiend;amien
ameen;amin
mamer;memamerkan
jelase;jelas
uwakk;uwak
piiink;pink
astgfrullah;astagfirullah
cd;celana dalam
yaaaaaa;ya
bangshad;bangsat
stagahhhh;astaga
iooo;lo
d;ada
plampiasannn;pelampiasan
masalahh;masalah
inghinn;ingin
dhi;di
mengherthii;mengerti
yanckh;yang
chelalyyu;selalu
therchakitty;tersakiti
kaliii;kali
yokkk;yuk
sweger;segar
kebukaaa;terbuka
kayakk;kayak
njerr;anjir
bingiiittttzzzz;banget
dooong;dong
mbakx;mbaknya
kite;kita
bejilbbnya;berjilbabnya
masio;masih
ugaaa;juga
jerewi;jerawat
jilbabnyaah;jilbabnya
warnaaa;warna
sukaaak;suka
kebayanyaa;kebayanya
mantes;memantas
merekaaaa;mereka
tiga2nya;tiga-tiganya
emessss;gemas
ucullllll;lucu
bangeettt;banget
gemesshh;gemas
apaaa;apa
ampuunn;ampun
ciuuuummmm;cium
mbil;sambil
ngemeng;mengomong
epe;apa
seehh;sih
astagfirrullah;astagfirullah
suerrr;suer
ntik;cantik
ketawakkkk;ketawa
kyanya;kayanya
nakutin;menakutkan
malingg;maling
niihh;nih
imutttttt;imut
satuuuuu;satu
sesekk;sesak
nafass;nafas
cintaaaaaaa;cinta
duluu;dulu
megang;memegang
kawinin;mengawini
liatin;memperlihatkan
bdan;badan
fotoin;memfoto
ganteng2;ganteng-ganteng
kri;kiri
garuk2;garuk-garuk
tembokk;tembok
kiriii;kiri
bungkusin;bungkuskan
atu;satu
dehhhh;deh
ngegantiin;menggantikan
trsa;terasa
khadirannya;kehadirannya
fikiran;pikiran
hayalanku;khayalanku
nton;menonton
surgaa;surga
kakkkkk;kak
rinduuuuuuuuu;rindu
terangkhn;terangkan
bngunlah;bangunlah
bngun;bangun
hiri;hari
"teman""ny";teman-temannya
benet;benar
tuu;tuh
gantiin;menggantikan
kklau;kalau
acra;acara
yaaa ;ya
bnerr;benar
emk;emak
temenn;teman
pngenn;pengin
terkenall;terkenal
ajhh;saja
sungguh2;sungguh-sungguh
ktny;katanya
shbt;sahabat
dimusiumin;dimuseumkan
